Sat Sep 19 15:57:37 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_full_profile_repeated256_v2/profile/worker.pstats

         51645601 function calls (48919657 primitive calls) in 38.857 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    87/86    0.830    0.010    0.830    0.010 {built-in method _imp.create_dynamic}
       72    0.000    0.000    0.811    0.011 codegen.py:1007(_finalize_specific)
      627    0.003    0.000    0.774    0.001 zipfile.py:1180(write)
      696    0.761    0.001    0.761    0.001 {method 'compress' of 'zlib.Compress' objects}
      161    0.000    0.000    0.755    0.005 codegen.py:1069(wrapper)
       72    0.000    0.000    0.753    0.010 executionengine.py:94(finalize_object)
       89    0.001    0.000    0.737    0.008 untyped_passes.py:192(run_pass)
    89/77    0.005    0.000    0.717    0.009 untyped_passes.py:284(run_pass)
      158    0.001    0.000    0.707    0.004 codegen.py:741(add_llvm_module)
    35/32    0.000    0.000    0.691    0.022 templates.py:1083(_get_signature)
    28/26    0.000    0.000    0.690    0.027 functions.py:391(get_call_type)
    26/24    0.000    0.000    0.690    0.029 templates.py:1137(generic)
      158    0.008    0.000    0.681    0.004 codegen.py:653(_optimize_functions)
2134/1969    0.006    0.000    0.676    0.000 untyped_passes.py:332(_do_work)
      240    0.003    0.000    0.664    0.003 persistence.py:187(_band_digest)
     12/9    0.000    0.000    0.659    0.073 inline_closurecall.py:493(inline_function)
       24    0.074    0.003    0.656    0.027 engine.py:1336(Lside_veg_v2022a)
       26    0.001    0.000    0.649    0.025 persistence.py:324(_flush)
     1222    0.001    0.000    0.647    0.001 gdal_array.py:264(BandRasterIONumPy)
     1222    0.646    0.001    0.646    0.001 {built-in method osgeo._gdal_array.BandRasterIONumPy}
1946/1918    0.009    0.000    0.635    0.000 lowering.py:916(lower_call)
      965    0.001    0.000    0.631    0.001 gdal.py:10754(ReadAsArray)
      965    0.003    0.000    0.629    0.001 gdal_array.py:597(BandReadAsArray)
    10590    0.015    0.000    0.617    0.000 npydecl.py:196(generic)
       24    0.000    0.000    0.607    0.025 persistence.py:414(write)
       24    0.002    0.000    0.605    0.025 rasters.py:66(write)
1926/1901    0.009    0.000    0.595    0.000 lowering.py:1216(_lower_call_normal)
  918/667    0.001    0.000    0.591    0.001 base.py:261(refresh)
    41366    0.012    0.000    0.589    0.000 targetconfig.py:197(values)
    10646    0.040    0.000    0.585    0.000 npydecl.py:92(generic)
    41366    0.130    0.000    0.577    0.000 targetconfig.py:200(<dictcomp>)
1911665/1907462    0.250    0.000    0.572    0.000 {built-in method builtins.getattr}
      240    0.000    0.000    0.572    0.002 gdal.py:9864(FlushCache)
      240    0.571    0.002    0.571    0.002 {built-in method osgeo._gdal.Band_FlushCache}
       96    0.003    0.000    0.570    0.006 engine.py:1323(Lvikt_veg)
       79    0.001    0.000    0.560    0.007 untyped_passes.py:1755(run_pass)
     7168    0.482    0.000    0.484    0.000 patch_radiation.py:168(_shortwave)
       12    0.000    0.000    0.483    0.040 caching.py:713(load_overload)
      918    0.011    0.000    0.481    0.001 cpu.py:102(load_additional_registries)
       66    0.000    0.000    0.481    0.007 lowering.py:286(create_cfunc_wrapper)
       66    0.002    0.000    0.480    0.007 cpu.py:237(create_cfunc_wrapper)
     9115    0.011    0.000    0.473    0.000 templates.py:279(_select)
      226    0.002    0.000    0.473    0.002 lowering.py:812(lower_getitem)
      706    0.001    0.000    0.464    0.001 module.py:243(__repr__)
481062/287596    0.135    0.000    0.462    0.000 {method 'format' of 'str' objects}
     9115    0.075    0.000    0.462    0.000 context.py:703(resolve_overload)
339916/330112    0.061    0.000    0.460    0.000 {built-in method builtins.next}
      706    0.001    0.000    0.459    0.001 module.py:217(_get_body_lines)
     7168    0.453    0.000    0.457    0.000 visibility_compiled.py:48(_decode_diff)
       69    0.000    0.000    0.457    0.007 typed_passes.py:562(run_pass)
      706    0.002    0.000    0.457    0.001 module.py:222(<listcomp>)
       69    0.000    0.000    0.457    0.007 ir_utils.py:2155(check_and_legalize_ir)
       72    0.001    0.000    0.454    0.006 codegen.py:667(_optimize_final_module)
     5863    0.003    0.000    0.454    0.000 templates.py:488(apply)
      231    0.001    0.000    0.450    0.002 postproc.py:158(_insert_var_dels)
     2142    0.051    0.000    0.450    0.000 visibility.py:254(__getitem__)
        1    0.000    0.000    0.449    0.449 wbgt.py:1(<module>)
        1    0.000    0.000    0.449    0.449 decorators.py:128(wrap)
      231    0.072    0.000    0.449    0.002 postproc.py:179(_patch_var_dels)
        2    0.000    0.000    0.448    0.224 dufunc.py:283(add)
        2    0.000    0.000    0.448    0.224 dufunc.py:336(_compile_for_argtys)
      285    0.000    0.000    0.448    0.002 base.py:888(compile_internal)
       89    0.000    0.000    0.444    0.005 untyped_passes.py:224(run_pass)
     1662    0.001    0.000    0.440    0.000 values.py:1017(__str__)
     1662    0.001    0.000    0.437    0.000 values.py:1010(descr)
       12    0.001    0.000    0.423    0.035 inline_closurecall.py:370(inline_ir)
288447/532    0.184    0.000    0.412    0.001 copy.py:128(deepcopy)
       91    0.041    0.000    0.411    0.005 byteflow.py:86(run)
 8864/488    0.036    0.000    0.409    0.001 copy.py:227(_deepcopy_dict)
        2    0.000    0.000    0.405    0.203 ufuncbuilder.py:178(_compile_element_wise_function)
        2    0.000    0.000    0.405    0.203 ufuncbuilder.py:110(compile)
        2    0.000    0.000    0.405    0.203 ufuncbuilder.py:131(_compile_core)
9018/1264    0.013    0.000    0.400    0.000 copy.py:259(_reconstruct)
       24    0.001    0.000    0.400    0.017 inline_closurecall.py:381(copy_ir)
      168    0.001    0.000    0.399    0.002 values.py:1003(descr_body)
207178/91551    0.058    0.000    0.398    0.000 _utils.py:44(__str__)
     5072    0.005    0.000    0.398    0.000 values.py:1176(descr)
    91/89    0.010    0.000    0.397    0.004 inline_closurecall.py:90(run)
     4284    0.003    0.000    0.396    0.000 visibility_native.py:103(__getitem__)
     4284    0.003    0.000    0.392    0.000 visibility.py:145(__getitem__)
     5072    0.010    0.000    0.387    0.000 values.py:1178(<listcomp>)
    16799    0.057    0.000    0.386    0.000 context.py:350(resolve_getattr)
     4284    0.004    0.000    0.384    0.000 visibility_native.py:98(decode_patch)
      459    0.370    0.001    0.381    0.001 visibility.py:184(append)
     4284    0.363    0.000    0.380    0.000 visibility.py:128(decode_patch)
    19737    0.022    0.000    0.372    0.000 visibility_native.py:93(decode_pixels)
    10674    0.115    0.000    0.368    0.000 numpy_support.py:356(ufunc_find_matching_loop)
       20    0.000    0.000    0.363    0.018 lowering.py:273(create_cpython_wrapper)
       20    0.000    0.000    0.363    0.018 cpu.py:225(create_cpython_wrapper)
       79    0.000    0.000    0.356    0.005 ssa.py:26(reconstruct_ssa)
       79    0.002    0.000    0.356    0.005 ssa.py:47(_run_ssa)
    57255    0.090    0.000    0.347    0.000 context.py:653(_rate_arguments)
    19737    0.267    0.000    0.347    0.000 visibility.py:110(decode_pixels)
   963266    0.240    0.000    0.343    0.000 targetconfig.py:111(getter)
    60775    0.060    0.000    0.342    0.000 values.py:544(_to_string)
    12173    0.013    0.000    0.340    0.000 targetconfig.py:191(__eq__)
      699    0.335    0.000    0.335    0.000 {built-in method posix.fsync}
      274    0.001    0.000    0.332    0.001 persistence.py:52(_sync_file)
      285    0.001    0.000    0.321    0.001 base.py:857(compile_subroutine)
        3    0.000    0.000    0.317    0.106 base.py:817(_compile_subroutine_no_cache)
      277    0.000    0.000    0.311    0.001 gdal.py:5547(FlushCache)
      277    0.311    0.001    0.311    0.001 {built-in method osgeo._gdal.Dataset_FlushCache}
        1    0.000    0.000    0.309    0.309 arrayobj.py:3097(array_view)
       91    0.001    0.000    0.303    0.003 interpreter.py:1443(post_process)
        3    0.000    0.000    0.298    0.099 compiler.py:806(compile_internal)
    95247    0.046    0.000    0.297    0.000 ssa.py:206(_run_ssa_block_pass)
    15552    0.020    0.000    0.290    0.000 context.py:361(_call_incref_decref)
       71    0.001    0.000    0.290    0.004 typed_passes.py:888(run_pass)
    42024    0.033    0.000    0.290    0.000 interpreter.py:1799(_dispatch)
   101760    0.063    0.000    0.289    0.000 event.py:209(broadcast)
    18681    0.031    0.000    0.288    0.000 context.py:441(resolve_value_type)
    31867    0.057    0.000    0.273    0.000 context.py:374(find_matching_getattr_template)
90930/86020    0.024    0.000    0.263    0.000 contextlib.py:132(__enter__)
     12/9    0.000    0.000    0.262    0.029 inline_closurecall.py:504(run_untyped_passes)
    30179    0.011    0.000    0.258    0.000 context.py:355(core)
22406/15552    0.024    0.000    0.256    0.000 context.py:344(get_meminfos)
    87/71    0.000    0.000    0.253    0.004 <frozen importlib._bootstrap_external>:1239(exec_module)
    87/71    0.016    0.000    0.253    0.004 {built-in method _imp.exec_dynamic}
5122/4650    0.012    0.000    0.252    0.000 base.py:534(get_function)
    10320    0.016    0.000    0.251    0.000 lowering.py:1580(delvar)
    12189    0.009    0.000    0.250    0.000 inspect.py:3261(signature)
    59069    0.050    0.000    0.248    0.000 instructions.py:13(__init__)
    14805    0.011    0.000    0.246    0.000 targetconfig.py:188(__hash__)
    45215    0.020    0.000    0.246    0.000 ffi.py:83(__exit__)
        2    0.000    0.000    0.246    0.123 _support_alternative_backends.py:1(<module>)
105987/105847    0.042    0.000    0.243    0.000 context.py:628(can_convert)
    42377    0.087    0.000    0.242    0.000 utils.py:306(order_by_target_specificity)
    12189    0.007    0.000    0.241    0.000 inspect.py:3007(from_callable)
        1    0.000    0.000    0.241    0.241 arraymath.py:1(<module>)
       89    0.000    0.000    0.240    0.003 untyped_passes.py:118(run_pass)
       81    0.002    0.000    0.239    0.003 typeinfer.py:1033(build_constraint)
      728    0.003    0.000    0.238    0.000 postproc.py:52(deadmaps)
        1    0.000    0.000    0.236    0.236 arraymath.py:35(_check_blas)
        1    0.000    0.000    0.236    0.236 linalg.py:55(ensure_blas)
    10485    0.004    0.000    0.236    0.000 typeinfer.py:1396(constrain_statement)
     2332    0.001    0.000    0.236    0.000 ir.py:1545(infer_constant)
    50880    0.034    0.000    0.236    0.000 event.py:404(end_event)
12223/12190    0.037    0.000    0.235    0.000 inspect.py:2435(_signature_from_callable)
4170/2332    0.003    0.000    0.235    0.000 consts.py:24(infer_constant)
    75436    0.033    0.000    0.233    0.000 values.py:537(__init__)
3912/2206    0.004    0.000    0.233    0.000 consts.py:56(_do_infer)
    72704    0.014    0.000    0.232    0.000 visibility_compiled.py:54(_descriptor)
     9883    0.010    0.000    0.231    0.000 typeinfer.py:1465(typeof_assign)
       69    0.001    0.000    0.227    0.003 lowering.py:30(__init__)
     3252    0.021    0.000    0.223    0.000 templates.py:409(apply)
        1    0.000    0.000    0.223    0.223 __init__.py:25(swig_import_helper)
    45207    0.012    0.000    0.222    0.000 base.py:1268(exit_fn)
      280    0.001    0.000    0.222    0.001 numbers.py:206(int_power_impl)
   223234    0.092    0.000    0.218    0.000 event.py:243(notify)
       69    0.001    0.000    0.217    0.003 lowering.py:349(init)
      513    0.000    0.000    0.216    0.000 inline_closurecall.py:1474(match)
     3462    0.011    0.000    0.216    0.000 typeinfer.py:710(__call__)
       69    0.015    0.000    0.216    0.003 lowering.py:365(_find_singly_assigned_variable)
      511    0.018    0.000    0.216    0.000 inline_closurecall.py:1487(_inline_const_arraycall)
    10924    0.014    0.000    0.212    0.000 lowering.py:1636(decref)
    18798    0.023    0.000    0.210    0.000 typeof.py:27(typeof)
       24    0.209    0.009    0.209    0.009 utci.py:398(_utci_uniform_serial)
      691    0.003    0.000    0.209    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
    42096    0.037    0.000    0.209    0.000 byteflow.py:332(dispatch)
      290    0.002    0.000    0.209    0.001 arrayobj.py:431(basic_indexing)
      546    0.005    0.000    0.208    0.000 ir_print.py:11(match)
        1    0.000    0.000    0.204    0.204 engine.py:1(<module>)
    11056    0.004    0.000    0.202    0.000 context.py:413(decref)
    12614    0.012    0.000    0.201    0.000 errors.py:577(__init__)
    78241    0.034    0.000    0.200    0.000 values.py:557(_set_name)
354897/271771    0.124    0.000    0.200    0.000 abstract.py:121(__hash__)
    45215    0.020    0.000    0.200    0.000 ffi.py:77(__enter__)
   704918    0.099    0.000    0.199    0.000 <frozen abc>:117(__instancecheck__)
   153329    0.070    0.000    0.198    0.000 engine.py:1692(_operands)
     1841    0.010    0.000    0.197    0.000 ir.py:614(infer_constant)
    90930    0.077    0.000    0.196    0.000 contextlib.py:299(helper)
  1817793    0.122    0.000    0.196    0.000 {method 'get' of 'dict' objects}
     2349    0.001    0.000    0.189    0.000 errors.py:748(__init__)
       91    0.018    0.000    0.189    0.002 interpreter.py:986(peep_hole_delete_with_exit)
     2008    0.029    0.000    0.187    0.000 ir.py:115(strformat)
    50880    0.033    0.000    0.184    0.000 event.py:390(start_event)
        1    0.000    0.000    0.183    0.183 arrayobj.py:2802(_change_dtype)
      221    0.001    0.000    0.180    0.001 arrayobj.py:515(_getitem_array_generic)
18823/18799    0.013    0.000    0.179    0.000 functools.py:904(wrapper)
    12922    0.014    0.000    0.176    0.000 builder.py:974(extract_value)
    45207    0.013    0.000    0.175    0.000 base.py:1265(enter_fn)
       20    0.000    0.000    0.174    0.009 callwrapper.py:101(build)
