Sat Sep 19 16:09:04 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_experiment/small_v1/profile/worker.pstats

         17681082 function calls (16911465 primitive calls) in 7.658 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1669    0.071    0.000    0.076    0.000 {built-in method io.open}
       55    0.001    0.000    0.074    0.001 callconv.py:122(raise_error)
        3    0.000    0.000    0.074    0.025 registry.py:1(<module>)
        3    0.000    0.000    0.074    0.025 arrayobj.py:4561(_empty_nd_impl)
        1    0.000    0.000    0.073    0.073 dispatcher.py:1(<module>)
     4060    0.006    0.000    0.072    0.000 context.py:361(_call_incref_decref)
       26    0.001    0.000    0.072    0.003 persistence.py:324(_flush)
133632/103556    0.044    0.000    0.072    0.000 abstract.py:121(__hash__)
      156    0.000    0.000    0.071    0.000 postproc.py:158(_insert_var_dels)
      156    0.018    0.000    0.071    0.000 postproc.py:179(_patch_var_dels)
   675600    0.046    0.000    0.070    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.070    0.023 base.py:888(compile_internal)
6831/4500    0.011    0.000    0.070    0.000 context.py:495(install_registry)
      243    0.002    0.000    0.069    0.000 _docscrape.py:388(_parse)
        3    0.000    0.000    0.068    0.023 base.py:857(compile_subroutine)
    12274    0.020    0.000    0.068    0.000 context.py:653(_rate_arguments)
     1158    0.001    0.000    0.068    0.000 codegen.py:1256(_pass_builder)
        1    0.000    0.000    0.068    0.068 base.py:817(_compile_subroutine_no_cache)
    58/55    0.001    0.000    0.068    0.001 untyped_passes.py:284(run_pass)
      759    0.003    0.000    0.067    0.000 context.py:811(load_additional_registries)
       47    0.000    0.000    0.067    0.001 typed_passes.py:562(run_pass)
       47    0.000    0.000    0.067    0.001 ir_utils.py:2155(check_and_legalize_ir)
     2630    0.002    0.000    0.067    0.000 inspect.py:3261(signature)
     1158    0.002    0.000    0.066    0.000 llvm_bindings.py:36(create_pass_builder)
     1182    0.001    0.000    0.066    0.000 __init__.py:704(__getattr__)
      982    0.001    0.000    0.066    0.000 analysis.py:76(fix_point)
   219603    0.031    0.000    0.065    0.000 <frozen abc>:117(__instancecheck__)
     2630    0.002    0.000    0.065    0.000 inspect.py:3007(from_callable)
       60    0.000    0.000    0.065    0.001 interpreter.py:1443(post_process)
      257    0.000    0.000    0.063    0.000 arrayobj.py:80(_make_refs)
       53    0.000    0.000    0.063    0.001 ssa.py:83(_fix_ssa_vars)
        1    0.000    0.000    0.063    0.063 compiler.py:806(compile_internal)
2664/2631    0.009    0.000    0.063    0.000 inspect.py:2435(_signature_from_callable)
    38306    0.017    0.000    0.063    0.000 _utils.py:16(register)
    13730    0.007    0.000    0.062    0.000 functions.py:309(<listcomp>)
       91    0.000    0.000    0.062    0.001 arrayobj.py:536(getitem_arraynd_intp)
       24    0.000    0.000    0.062    0.003 persistence.py:160(<dictcomp>)
        3    0.000    0.000    0.062    0.021 _internal.py:56(clone_module)
      394    0.002    0.000    0.062    0.000 module.py:11(parse_assembly)
      264    0.002    0.000    0.062    0.000 persistence.py:83(_encode)
     3834    0.005    0.000    0.061    0.000 context.py:441(resolve_value_type)
7264/4060    0.009    0.000    0.060    0.000 context.py:344(get_meminfos)
     2705    0.003    0.000    0.060    0.000 context.py:350(resolve_getattr)
        1    0.000    0.000    0.059    0.059 compiler.py:1(<module>)
       49    0.001    0.000    0.058    0.001 typed_passes.py:888(run_pass)
3088/3078    0.022    0.000    0.058    0.000 {built-in method builtins.__build_class__}
       68    0.000    0.000    0.056    0.001 codegen.py:1098(_load_defined_symbols)
79262/79047    0.025    0.000    0.056    0.000 _utils.py:54(get_reference)
    27399    0.010    0.000    0.055    0.000 functions.py:234(_unlit_non_poison)
     2142    0.007    0.000    0.055    0.000 visibility.py:254(__getitem__)
     2482    0.003    0.000    0.055    0.000 lowering.py:1580(delvar)
        5    0.000    0.000    0.055    0.011 callwrapper.py:101(build)
      343    0.001    0.000    0.055    0.000 templates.py:907(_get_target_registry)
        5    0.000    0.000    0.055    0.011 callwrapper.py:126(build_wrapper)
  367/349    0.001    0.000    0.054    0.000 untyped_passes.py:332(_do_work)
9028/8935    0.008    0.000    0.053    0.000 abstract.py:61(__call__)
     5632    0.007    0.000    0.053    0.000 base.py:352(install_registry)
    10626    0.005    0.000    0.052    0.000 ffi.py:392(__del__)
      136    0.002    0.000    0.052    0.000 codegen.py:1102(<setcomp>)
      690    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     2386    0.003    0.000    0.051    0.000 lowering.py:1534(storevar)
  759/500    0.001    0.000    0.051    0.000 context.py:482(_load_builtins)
        3    0.000    0.000    0.051    0.017 inline_closurecall.py:493(inline_function)
      690    0.051    0.000    0.051    0.000 {built-in method marshal.loads}
     3785    0.003    0.000    0.051    0.000 __init__.py:272(_compile)
     5254    0.010    0.000    0.051    0.000 context.py:374(find_matching_getattr_template)
    37789    0.012    0.000    0.051    0.000 {built-in method builtins.any}
      112    0.001    0.000    0.050    0.000 callconv.py:853(call_function)
      252    0.002    0.000    0.050    0.000 ground_view.py:141(_gather)
       59    0.000    0.000    0.050    0.001 codegen.py:1402(_add_module)
