Sat Sep 19 16:15:40 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_serial_variant/small_v1/profile/worker.pstats

         7157498 function calls (6854664 primitive calls) in 4.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.041    0.003 codegen.py:667(_optimize_final_module)
       24    0.001    0.000    0.041    0.002 rasters.py:66(write)
      802    0.000    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
      802    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
     9629    0.004    0.000    0.040    0.000 ffi.py:83(__exit__)
        2    0.000    0.000    0.040    0.020 polygons.py:276(derive_payload_offset_table)
       10    0.002    0.000    0.040    0.004 polygons.py:265(read)
       24    0.000    0.000    0.039    0.002 lowering.py:812(lower_getitem)
        1    0.000    0.000    0.038    0.038 _ccallback.py:1(<module>)
    21282    0.010    0.000    0.038    0.000 event.py:209(broadcast)
       38    0.010    0.000    0.037    0.001 patch_radiation.py:118(_class_coefficients)
      270    0.001    0.000    0.037    0.000 persistence.py:52(_sync_file)
    10641    0.007    0.000    0.036    0.000 event.py:404(end_event)
142439/142438    0.007    0.000    0.036    0.000 {method 'extend' of 'list' objects}
     1124    0.006    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
       13    0.000    0.000    0.036    0.003 untyped_passes.py:224(run_pass)
      252    0.036    0.000    0.036    0.000 ground_view.py:126(_gather_serial)
       11    0.000    0.000    0.036    0.003 caching.py:724(_load_overload)
     4284    0.003    0.000    0.036    0.000 visibility_native.py:98(decode_patch)
24323/330    0.016    0.000    0.036    0.000 copy.py:128(deepcopy)
      260    0.000    0.000    0.035    0.000 gdal.py:5547(FlushCache)
      260    0.035    0.000    0.035    0.000 {built-in method osgeo._gdal.Dataset_FlushCache}
     9621    0.003    0.000    0.035    0.000 base.py:1268(exit_fn)
   293014    0.035    0.000    0.035    0.000 {built-in method numpy.asarray}
 1390/286    0.004    0.000    0.035    0.000 copy.py:227(_deepcopy_dict)
     2728    0.003    0.000    0.034    0.000 base.py:352(install_registry)
     6745    0.034    0.000    0.034    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.034    0.034 runtime.py:1(<module>)
     9629    0.004    0.000    0.034    0.000 ffi.py:77(__enter__)
      240    0.000    0.000    0.034    0.000 gdal.py:9864(FlushCache)
      240    0.034    0.000    0.034    0.000 {built-in method osgeo._gdal.Band_FlushCache}
      630    0.000    0.000    0.034    0.000 patch_radiation.py:273(<genexpr>)
      690    0.033    0.000    0.033    0.000 {built-in method io.open_code}
     5959    0.010    0.000    0.033    0.000 context.py:653(_rate_arguments)
     1103    0.001    0.000    0.032    0.000 inspect.py:3261(signature)
     1026    0.032    0.000    0.032    0.000 visibility_compiled.py:17(_decode)
       70    0.000    0.000    0.032    0.000 _util.py:1148(decorator)
      662    0.032    0.000    0.032    0.000 {built-in method posix.fsync}
     4284    0.018    0.000    0.032    0.000 visibility.py:128(decode_patch)
     1103    0.001    0.000    0.032    0.000 inspect.py:3007(from_callable)
1137/1104    0.004    0.000    0.031    0.000 inspect.py:2435(_signature_from_callable)
        2    0.000    0.000    0.031    0.015 ir_utils.py:1(<module>)
      240    0.001    0.000    0.031    0.000 persistence.py:187(_band_digest)
     2460    0.005    0.000    0.031    0.000 textwrap.py:419(dedent)
