Sat Sep 19 15:59:11 2026    /Users/alansynn/Workspace/solweig-light/reports/p7_profile_small_warmed_v1/profile/worker.pstats

         48063836 function calls (45337892 primitive calls) in 19.388 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
10303702/10303700    0.679    0.000    0.880    0.000 {built-in method builtins.isinstance}
       72    0.000    0.000    0.872    0.012 codegen.py:1007(_finalize_specific)
      153    0.000    0.000    0.828    0.005 shadows.py:113(shadow)
      153    0.000    0.000    0.822    0.005 sky_compiled.py:344(shadow_pixel_serial)
      153    0.001    0.000    0.822    0.005 sky_compiled.py:321(_shadow_pixel)
       69    0.001    0.000    0.819    0.012 typed_passes.py:228(run_pass)
      161    0.000    0.000    0.817    0.005 codegen.py:1069(wrapper)
       72    0.000    0.000    0.814    0.011 executionengine.py:94(finalize_object)
      158    0.001    0.000    0.758    0.005 codegen.py:741(add_llvm_module)
  918/667    0.001    0.000    0.741    0.001 base.py:261(refresh)
    89/77    0.006    0.000    0.737    0.010 untyped_passes.py:284(run_pass)
      158    0.008    0.000    0.724    0.005 codegen.py:653(_optimize_functions)
    35/32    0.000    0.000    0.715    0.022 templates.py:1083(_get_signature)
    28/26    0.000    0.000    0.715    0.028 functions.py:391(get_call_type)
    26/24    0.000    0.000    0.715    0.030 templates.py:1137(generic)
       89    0.001    0.000    0.708    0.008 untyped_passes.py:192(run_pass)
2134/1969    0.007    0.000    0.695    0.000 untyped_passes.py:332(_do_work)
     12/9    0.000    0.000    0.677    0.075 inline_closurecall.py:493(inline_function)
1946/1918    0.009    0.000    0.638    0.000 lowering.py:916(lower_call)
       12    0.000    0.000    0.632    0.053 caching.py:713(load_overload)
      918    0.011    0.000    0.630    0.001 cpu.py:102(load_additional_registries)
    10590    0.014    0.000    0.621    0.000 npydecl.py:196(generic)
    43608    0.014    0.000    0.616    0.000 targetconfig.py:197(values)
    43608    0.132    0.000    0.602    0.000 targetconfig.py:200(<dictcomp>)
1926/1901    0.009    0.000    0.598    0.000 lowering.py:1216(_lower_call_normal)
1886696/1882493    0.252    0.000    0.590    0.000 {built-in method builtins.getattr}
    10646    0.040    0.000    0.588    0.000 npydecl.py:92(generic)
       66    0.000    0.000    0.494    0.007 lowering.py:286(create_cfunc_wrapper)
       66    0.002    0.000    0.493    0.007 cpu.py:237(create_cfunc_wrapper)
       79    0.001    0.000    0.483    0.006 untyped_passes.py:1755(run_pass)
       72    0.001    0.000    0.479    0.007 codegen.py:667(_optimize_final_module)
        1    0.000    0.000    0.479    0.479 __init__.py:25(swig_import_helper)
      706    0.001    0.000    0.475    0.001 module.py:243(__repr__)
     9115    0.011    0.000    0.473    0.000 templates.py:279(_select)
      226    0.002    0.000    0.472    0.002 lowering.py:812(lower_getitem)
481062/287596    0.136    0.000    0.471    0.000 {method 'format' of 'str' objects}
      706    0.001    0.000    0.470    0.001 module.py:217(_get_body_lines)
      706    0.002    0.000    0.468    0.001 module.py:222(<listcomp>)
339916/330112    0.061    0.000    0.465    0.000 {built-in method builtins.next}
     9115    0.076    0.000    0.462    0.000 context.py:703(resolve_overload)
       69    0.000    0.000    0.461    0.007 typed_passes.py:562(run_pass)
       69    0.000    0.000    0.460    0.007 ir_utils.py:2155(check_and_legalize_ir)
        1    0.000    0.000    0.457    0.457 wbgt.py:1(<module>)
        1    0.000    0.000    0.457    0.457 decorators.py:128(wrap)
        2    0.000    0.000    0.456    0.228 dufunc.py:283(add)
        2    0.000    0.000    0.456    0.228 dufunc.py:336(_compile_for_argtys)
     5863    0.003    0.000    0.453    0.000 templates.py:488(apply)
       89    0.000    0.000    0.451    0.005 untyped_passes.py:224(run_pass)
      285    0.000    0.000    0.450    0.002 base.py:888(compile_internal)
     1662    0.001    0.000    0.450    0.000 values.py:1017(__str__)
     1662    0.001    0.000    0.448    0.000 values.py:1010(descr)
      231    0.001    0.000    0.440    0.002 postproc.py:158(_insert_var_dels)
      231    0.070    0.000    0.439    0.002 postproc.py:179(_patch_var_dels)
       12    0.001    0.000    0.430    0.036 inline_closurecall.py:370(inline_ir)
288447/532    0.184    0.000    0.417    0.001 copy.py:128(deepcopy)
 8864/488    0.038    0.000    0.415    0.001 copy.py:227(_deepcopy_dict)
        2    0.000    0.000    0.413    0.207 ufuncbuilder.py:178(_compile_element_wise_function)
        2    0.000    0.000    0.413    0.207 ufuncbuilder.py:110(compile)
        2    0.000    0.000    0.413    0.206 ufuncbuilder.py:131(_compile_core)
      168    0.001    0.000    0.408    0.002 values.py:1003(descr_body)
       20    0.000    0.000    0.408    0.020 lowering.py:273(create_cpython_wrapper)
       20    0.000    0.000    0.408    0.020 cpu.py:225(create_cpython_wrapper)
     5072    0.005    0.000    0.407    0.000 values.py:1176(descr)
207178/91551    0.059    0.000    0.406    0.000 _utils.py:44(__str__)
9018/1264    0.013    0.000    0.405    0.000 copy.py:259(_reconstruct)
       24    0.001    0.000    0.405    0.017 inline_closurecall.py:381(copy_ir)
     5072    0.010    0.000    0.396    0.000 values.py:1178(<listcomp>)
    16799    0.056    0.000    0.387    0.000 context.py:350(resolve_getattr)
    91/89    0.011    0.000    0.379    0.004 inline_closurecall.py:90(run)
       91    0.030    0.000    0.372    0.004 byteflow.py:86(run)
    10674    0.117    0.000    0.370    0.000 numpy_support.py:356(ufunc_find_matching_loop)
    13294    0.014    0.000    0.369    0.000 targetconfig.py:191(__eq__)
  1012590    0.248    0.000    0.359    0.000 targetconfig.py:111(getter)
    60775    0.061    0.000    0.350    0.000 values.py:544(_to_string)
    57255    0.090    0.000    0.346    0.000 context.py:653(_rate_arguments)
      285    0.001    0.000    0.325    0.001 base.py:857(compile_subroutine)
        3    0.000    0.000    0.321    0.107 base.py:817(_compile_subroutine_no_cache)
        1    0.000    0.000    0.312    0.312 arrayobj.py:3097(array_view)
