Sat Sep 19 16:22:50 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_distinct_variant/small_v1/profile/worker.pstats

         7198627 function calls (6895792 primitive calls) in 4.379 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.124    0.005 codegen.py:792(_finalize_final_module)
    22829    0.005    0.000    0.123    0.000 ir.py:354(list_vars)
        6    0.000    0.000    0.116    0.019 templates.py:1083(_get_signature)
        4    0.000    0.000    0.115    0.029 functions.py:391(get_call_type)
        4    0.000    0.000    0.115    0.029 templates.py:1137(generic)
        1    0.000    0.000    0.114    0.114 _interpolation.py:1(<module>)
        1    0.000    0.000    0.114    0.114 __init__.py:129(__getattr__)
        1    0.000    0.000    0.113    0.113 stencil.py:1(<module>)
      459    0.001    0.000    0.112    0.000 typedlist.py:341(append)
     2008    0.110    0.000    0.110    0.000 {method 'read' of '_io.BufferedReader' objects}
      243    0.000    0.000    0.109    0.000 _docscrape.py:579(__init__)
      113    0.015    0.000    0.108    0.001 analysis.py:23(compute_use_defs)
       24    0.000    0.000    0.102    0.004 codegen.py:1007(_finalize_specific)
  120/118    0.001    0.000    0.100    0.001 lowering.py:916(lower_call)
      218    0.002    0.000    0.099    0.000 lowering.py:742(lower_binop)
1119144/1119142    0.072    0.000    0.098    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.098    0.033 typedlist.py:212(empty_list)
        3    0.000    0.000    0.098    0.033 typedlist.py:228(__init__)
        3    0.000    0.000    0.098    0.033 typedlist.py:270(_parse_arg)
  116/114    0.001    0.000    0.098    0.001 lowering.py:1216(_lower_call_normal)
      103    0.000    0.000    0.095    0.001 postproc.py:42(usedefs)
       25    0.000    0.000    0.095    0.004 codegen.py:741(add_llvm_module)
      172    0.001    0.000    0.095    0.001 _array_api.py:840(decorator)
      243    0.001    0.000    0.095    0.000 _docscrape.py:140(__init__)
      126    0.000    0.000    0.093    0.001 codegen.py:1069(wrapper)
       10    0.000    0.000    0.092    0.009 untyped_passes.py:1755(run_pass)
       25    0.001    0.000    0.092    0.004 codegen.py:653(_optimize_functions)
       24    0.000    0.000    0.091    0.004 executionengine.py:94(finalize_object)
      310    0.000    0.000    0.088    0.000 newpassmanagers.py:120(run)
        1    0.000    0.000    0.086    0.086 _util.py:1(<module>)
   351/92    0.000    0.000    0.086    0.001 context.py:232(refresh)
        1    0.000    0.000    0.085    0.085 _array_api.py:1(<module>)
       13    0.000    0.000    0.083    0.006 untyped_passes.py:79(run_pass)
       13    0.001    0.000    0.083    0.006 interpreter.py:1365(interpret)
